epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1621178576226,2021-05-16T17.22.56.226,0.000,-0.764,0.343,0.555
1621178576236,2021-05-16T17.22.56.236,0.010,-0.764,0.347,0.584
1621178576246,2021-05-16T17.22.56.246,0.020,-0.741,0.342,0.606
1621178576256,2021-05-16T17.22.56.256,0.030,-0.687,0.355,0.621
1621178576266,2021-05-16T17.22.56.266,0.040,-0.668,0.354,0.608
1621178576276,2021-05-16T17.22.56.276,0.050,-0.684,0.361,0.572
1621178576286,2021-05-16T17.22.56.286,0.060,-0.749,0.366,0.534
1621178576296,2021-05-16T17.22.56.296,0.070,-0.826,0.364,0.505
1621178576306,2021-05-16T17.22.56.306,0.080,-0.875,0.377,0.476
1621178576316,2021-05-16T17.22.56.316,0.090,-0.867,0.373,0.468
1621178576326,2021-05-16T17.22.56.326,0.100,-0.907,0.364,0.487
1621178576336,2021-05-16T17.22.56.336,0.110,-0.926,0.381,0.496
1621178576346,2021-05-16T17.22.56.346,0.120,-0.834,0.387,0.510
1621178576356,2021-05-16T17.22.56.356,0.130,-0.742,0.400,0.527
1621178576366,2021-05-16T17.22.56.366,0.140,-0.716,0.406,0.534
1621178576376,2021-05-16T17.22.56.376,0.150,-0.712,0.412,0.542
1621178576386,2021-05-16T17.22.56.386,0.160,-0.721,0.420,0.554
1621178576396,2021-05-16T17.22.56.396,0.170,-0.755,0.416,0.565
1621178576406,2021-05-16T17.22.56.406,0.180,-0.901,0.408,0.556
1621178576416,2021-05-16T17.22.56.416,0.190,-0.983,0.446,0.558
1621178576426,2021-05-16T17.22.56.426,0.200,-0.969,0.461,0.574
1621178576436,2021-05-16T17.22.56.436,0.210,-0.931,0.452,0.596
1621178576446,2021-05-16T17.22.56.446,0.220,-0.872,0.438,0.636
1621178576456,2021-05-16T17.22.56.456,0.230,-0.829,0.425,0.672
1621178576466,2021-05-16T17.22.56.466,0.240,-0.911,0.399,0.666
1621178576476,2021-05-16T17.22.56.476,0.250,-1.057,0.389,0.647
1621178576486,2021-05-16T17.22.56.486,0.260,-1.170,0.366,0.637
1621178576496,2021-05-16T17.22.56.496,0.270,-1.297,0.365,0.642
1621178576506,2021-05-16T17.22.56.506,0.280,-1.234,0.368,0.667
1621178576516,2021-05-16T17.22.56.516,0.290,-1.168,0.354,0.675
1621178576526,2021-05-16T17.22.56.526,0.300,-1.090,0.345,0.663
1621178576536,2021-05-16T17.22.56.536,0.310,-1.039,0.341,0.646
1621178576546,2021-05-16T17.22.56.546,0.320,-1.029,0.351,0.619
1621178576556,2021-05-16T17.22.56.556,0.330,-0.982,0.359,0.563
1621178576566,2021-05-16T17.22.56.566,0.340,-0.991,0.369,0.484
1621178576576,2021-05-16T17.22.56.576,0.350,-0.900,0.406,0.432
1621178576586,2021-05-16T17.22.56.586,0.360,-0.822,0.427,0.416
1621178576596,2021-05-16T17.22.56.596,0.370,-0.766,0.432,0.418
1621178576606,2021-05-16T17.22.56.606,0.380,-0.681,0.458,0.421
1621178576616,2021-05-16T17.22.56.616,0.390,-0.632,0.466,0.430
1621178576626,2021-05-16T17.22.56.626,0.400,-0.525,0.494,0.435
1621178576636,2021-05-16T17.22.56.636,0.410,-0.441,0.529,0.436
1621178576646,2021-05-16T17.22.56.646,0.420,-0.352,0.560,0.433
1621178576656,2021-05-16T17.22.56.656,0.430,-0.257,0.590,0.440
1621178576666,2021-05-16T17.22.56.666,0.440,-0.169,0.616,0.450
1621178576676,2021-05-16T17.22.56.676,0.450,-0.118,0.627,0.462
