epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1621262489718,2021-05-17T16.41.29.718,0.000,-0.122,-0.305,0.122
1621262489728,2021-05-17T16.41.29.728,0.010,-0.305,-0.061,0.488
1621262489738,2021-05-17T16.41.29.738,0.020,-0.183,-0.183,0.183
1621262489748,2021-05-17T16.41.29.748,0.030,-0.183,0.305,0.122
1621262489758,2021-05-17T16.41.29.758,0.040,-0.305,0.183,0.183
1621262489768,2021-05-17T16.41.29.768,0.050,-0.244,-0.061,0.244
1621262489778,2021-05-17T16.41.29.778,0.060,-0.122,0.000,0.244
1621262489788,2021-05-17T16.41.29.788,0.070,-0.122,0.671,0.061
1621262489798,2021-05-17T16.41.29.798,0.080,-0.122,0.793,-0.122
1621262489808,2021-05-17T16.41.29.808,0.090,-0.122,0.305,-0.122
1621262489818,2021-05-17T16.41.29.818,0.100,-0.122,0.183,-0.122
1621262489828,2021-05-17T16.41.29.828,0.110,-0.244,0.427,-0.244
1621262489838,2021-05-17T16.41.29.838,0.120,-0.183,0.366,-0.122
1621262489848,2021-05-17T16.41.29.848,0.130,-0.122,-0.061,0.000
1621262489858,2021-05-17T16.41.29.858,0.140,-0.244,0.488,-0.122
1621262489868,2021-05-17T16.41.29.868,0.150,0.000,0.976,-0.122
1621262489878,2021-05-17T16.41.29.878,0.160,0.000,0.732,-0.061
1621262489888,2021-05-17T16.41.29.888,0.170,0.000,0.793,-0.244
1621262489898,2021-05-17T16.41.29.898,0.180,-0.061,0.305,-0.122
1621262489908,2021-05-17T16.41.29.908,0.190,-0.061,-0.183,0.000
1621262489918,2021-05-17T16.41.29.918,0.200,0.061,-0.366,0.061
1621262489928,2021-05-17T16.41.29.928,0.210,0.000,0.244,-0.183
1621262489938,2021-05-17T16.41.29.938,0.220,-0.061,0.854,-0.183
1621262489948,2021-05-17T16.41.29.948,0.230,-0.061,0.732,0.000
1621262489958,2021-05-17T16.41.29.958,0.240,0.122,0.183,0.061
1621262489968,2021-05-17T16.41.29.968,0.250,0.183,0.122,-0.061
1621262489978,2021-05-17T16.41.29.978,0.260,0.183,-0.122,-0.122
1621262489988,2021-05-17T16.41.29.988,0.270,0.122,-0.122,-0.061
1621262489998,2021-05-17T16.41.29.998,0.280,0.000,-0.122,-0.061
1621262490008,2021-05-17T16.41.30.008,0.290,0.061,0.305,-0.122
1621262490018,2021-05-17T16.41.30.018,0.300,-0.061,0.793,-0.183
1621262490028,2021-05-17T16.41.30.028,0.310,-0.122,0.366,-0.122
1621262490038,2021-05-17T16.41.30.038,0.320,-0.061,0.061,-0.061
1621262490048,2021-05-17T16.41.30.048,0.330,0.244,-0.244,-0.122
