epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1620062110678,2021-05-03T19:15:10.678,0.000,1.402,-0.793,-0.366
1620062110688,2021-05-03T19:15:10.688,0.010,1.280,-0.915,-0.183
1620062110698,2021-05-03T19:15:10.698,0.020,1.585,-1.037,-0.122
1620062110708,2021-05-03T19:15:10.708,0.030,1.890,-1.220,-0.061
1620062110718,2021-05-03T19:15:10.718,0.040,2.195,-1.159,0.183
1620062110728,2021-05-03T19:15:10.728,0.050,2.378,-1.098,0.427
1620062110738,2021-05-03T19:15:10.738,0.060,2.500,-1.402,0.671
1620062110748,2021-05-03T19:15:10.748,0.070,2.683,-1.890,0.732
1620062110758,2021-05-03T19:15:10.758,0.080,2.988,-2.500,0.854
1620062110768,2021-05-03T19:15:10.768,0.090,3.232,-2.744,1.220
1620062110778,2021-05-03T19:15:10.778,0.100,3.415,-2.744,1.463
1620062110788,2021-05-03T19:15:10.788,0.110,3.415,-2.988,1.707
1620062110798,2021-05-03T19:15:10.798,0.120,3.293,-3.354,1.890
1620062110808,2021-05-03T19:15:10.808,0.130,3.354,-3.720,2.012
1620062110818,2021-05-03T19:15:10.818,0.140,3.293,-3.720,2.073
1620062110828,2021-05-03T19:15:10.828,0.150,3.354,-3.780,2.073
1620062110838,2021-05-03T19:15:10.838,0.160,3.354,-3.963,2.012
1620062110848,2021-05-03T19:15:10.848,0.170,3.293,-4.146,1.890
1620062110858,2021-05-03T19:15:10.858,0.180,3.171,-3.841,1.768
1620062110868,2021-05-03T19:15:10.868,0.190,2.988,-3.537,1.585
1620062110878,2021-05-03T19:15:10.878,0.200,3.110,-3.293,1.280
1620062110888,2021-05-03T19:15:10.888,0.210,2.622,-3.720,0.854
1620062110898,2021-05-03T19:15:10.898,0.220,2.744,-3.841,0.671
1620062110908,2021-05-03T19:15:10.908,0.230,2.561,-3.841,0.244
1620062110918,2021-05-03T19:15:10.918,0.240,2.195,-3.598,-0.122
1620062110928,2021-05-03T19:15:10.928,0.250,2.378,-2.561,-0.488
1620062110938,2021-05-03T19:15:10.938,0.260,1.585,-2.195,-0.671
1620062110948,2021-05-03T19:15:10.948,0.270,1.463,-0.671,-0.976
1620062110958,2021-05-03T19:15:10.958,0.280,0.854,-0.183,-1.463
1620062110968,2021-05-03T19:15:10.968,0.290,0.122,-0.183,-1.585
1620062110978,2021-05-03T19:15:10.978,0.300,-0.305,0.366,-1.890
1620062110988,2021-05-03T19:15:10.988,0.310,-0.915,0.671,-2.256
1620062110998,2021-05-03T19:15:10.998,0.320,-1.037,0.854,-2.561
1620062111008,2021-05-03T19:15:11.008,0.330,-1.280,0.915,-2.561
1620062111018,2021-05-03T19:15:11.018,0.340,-1.707,0.488,-2.561
1620062111028,2021-05-03T19:15:11.028,0.350,-1.829,0.549,-2.561
1620062111038,2021-05-03T19:15:11.038,0.360,-1.768,0.671,-2.439
1620062111048,2021-05-03T19:15:11.048,0.370,-1.951,0.366,-2.500
1620062111058,2021-05-03T19:15:11.058,0.380,-1.402,0.610,-2.256
1620062111068,2021-05-03T19:15:11.068,0.390,-1.098,0.610,-2.073
1620062111078,2021-05-03T19:15:11.078,0.400,-1.098,0.366,-1.829
1620062111088,2021-05-03T19:15:11.088,0.410,-0.610,0.671,-1.524
1620062111098,2021-05-03T19:15:11.098,0.420,-0.183,0.610,-1.280
1620062111108,2021-05-03T19:15:11.108,0.430,-0.061,0.122,-1.159
1620062111118,2021-05-03T19:15:11.118,0.440,-0.061,0.122,-1.037
1620062111128,2021-05-03T19:15:11.128,0.450,0.183,0.122,-0.732
1620062111138,2021-05-03T19:15:11.138,0.460,0.366,-0.122,-0.427
1620062111148,2021-05-03T19:15:11.148,0.470,0.427,-0.183,-0.244
1620062111158,2021-05-03T19:15:11.158,0.480,0.488,-0.366,-0.122
1620062111168,2021-05-03T19:15:11.168,0.490,0.488,-0.244,-0.061
1620062111178,2021-05-03T19:15:11.178,0.500,0.427,-0.122,-0.122
1620062111188,2021-05-03T19:15:11.188,0.510,0.183,-0.549,-0.305
1620062111198,2021-05-03T19:15:11.198,0.520,0.000,-0.488,-0.305
1620062111208,2021-05-03T19:15:11.208,0.530,-0.183,-0.122,-0.427
1620062111218,2021-05-03T19:15:11.218,0.540,-0.366,0.122,-0.366
1620062111228,2021-05-03T19:15:11.228,0.550,-0.305,0.305,-0.427
1620062111238,2021-05-03T19:15:11.238,0.560,-0.671,0.366,-0.732
1620062111248,2021-05-03T19:15:11.248,0.570,-0.854,0.610,-1.159
1620062111258,2021-05-03T19:15:11.258,0.580,-1.159,0.732,-1.524
1620062111268,2021-05-03T19:15:11.268,0.590,-1.220,0.793,-1.524
1620062111278,2021-05-03T19:15:11.278,0.600,-1.280,0.732,-1.585
1620062111288,2021-05-03T19:15:11.288,0.610,-1.220,0.854,-1.646
1620062111298,2021-05-03T19:15:11.298,0.620,-1.220,1.159,-1.646
1620062111308,2021-05-03T19:15:11.308,0.630,-1.341,0.976,-1.585
1620062111318,2021-05-03T19:15:11.318,0.640,-1.280,0.915,-1.524
1620062111328,2021-05-03T19:15:11.328,0.650,-0.793,0.793,-1.341
1620062111338,2021-05-03T19:15:11.338,0.660,-0.549,0.732,-1.280
1620062111348,2021-05-03T19:15:11.348,0.670,-0.854,0.732,-1.220
1620062111358,2021-05-03T19:15:11.358,0.680,-0.610,1.098,-1.159
1620062111368,2021-05-03T19:15:11.368,0.690,-0.549,1.341,-1.098
1620062111378,2021-05-03T19:15:11.378,0.700,-0.610,1.098,-1.037
1620062111388,2021-05-03T19:15:11.388,0.710,-0.427,1.098,-0.976
1620062111398,2021-05-03T19:15:11.398,0.720,-0.305,0.793,-0.976
