epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1620062110675,2021-05-03T19:15:10.675,0.000,20.976,-19.268,11.098
1620062110685,2021-05-03T19:15:10.685,0.010,21.280,-20.183,11.463
1620062110695,2021-05-03T19:15:10.695,0.020,22.500,-23.720,11.585
1620062110705,2021-05-03T19:15:10.705,0.030,24.695,-27.500,12.317
1620062110715,2021-05-03T19:15:10.715,0.040,27.988,-31.829,13.537
1620062110725,2021-05-03T19:15:10.725,0.050,33.293,-37.195,15.305
1620062110735,2021-05-03T19:15:10.735,0.060,39.573,-40.915,16.829
1620062110745,2021-05-03T19:15:10.745,0.070,46.280,-39.512,18.659
1620062110755,2021-05-03T19:15:10.755,0.080,52.134,-32.805,19.512
1620062110765,2021-05-03T19:15:10.765,0.090,56.037,-25.976,18.537
1620062110775,2021-05-03T19:15:10.775,0.100,57.927,-19.756,16.646
1620062110785,2021-05-03T19:15:10.785,0.110,58.293,-14.146,14.573
1620062110795,2021-05-03T19:15:10.795,0.120,57.927,-11.220,11.707
1620062110805,2021-05-03T19:15:10.805,0.130,57.805,-11.951,9.024
1620062110815,2021-05-03T19:15:10.815,0.140,58.720,-14.024,6.890
1620062110825,2021-05-03T19:15:10.825,0.150,59.878,-17.256,4.146
1620062110835,2021-05-03T19:15:10.835,0.160,60.671,-22.195,1.646
1620062110845,2021-05-03T19:15:10.845,0.170,61.402,-25.610,0.854
1620062110855,2021-05-03T19:15:10.855,0.180,62.683,-22.683,0.854
1620062110865,2021-05-03T19:15:10.865,0.190,63.720,-18.354,0.549
1620062110875,2021-05-03T19:15:10.875,0.200,64.573,-17.439,-0.244
1620062110885,2021-05-03T19:15:10.885,0.210,65.610,-19.207,-1.707
1620062110895,2021-05-03T19:15:10.895,0.220,67.195,-22.317,-2.500
1620062110905,2021-05-03T19:15:10.905,0.230,68.902,-24.939,-3.598
1620062110915,2021-05-03T19:15:10.915,0.240,70.183,-28.110,-5.671
1620062110925,2021-05-03T19:15:10.925,0.250,72.012,-29.878,-8.171
1620062110935,2021-05-03T19:15:10.935,0.260,73.537,-31.585,-11.463
1620062110945,2021-05-03T19:15:10.945,0.270,74.329,-34.085,-16.280
1620062110955,2021-05-03T19:15:10.955,0.280,74.634,-32.866,-22.561
1620062110965,2021-05-03T19:15:10.965,0.290,74.939,-27.378,-28.415
1620062110975,2021-05-03T19:15:10.975,0.300,75.305,-21.159,-32.195
1620062110985,2021-05-03T19:15:10.985,0.310,75.976,-15.610,-34.146
1620062110995,2021-05-03T19:15:10.995,0.320,77.317,-10.915,-34.512
1620062111005,2021-05-03T19:15:11.005,0.330,78.841,-6.524,-34.695
1620062111015,2021-05-03T19:15:11.015,0.340,80.183,-2.561,-35.183
1620062111025,2021-05-03T19:15:11.025,0.350,81.768,1.159,-35.427
1620062111035,2021-05-03T19:15:11.035,0.360,82.805,3.780,-35.610
1620062111045,2021-05-03T19:15:11.045,0.370,82.927,3.720,-36.341
1620062111055,2021-05-03T19:15:11.055,0.380,82.500,1.280,-37.317
1620062111065,2021-05-03T19:15:11.065,0.390,82.073,-1.646,-38.659
1620062111075,2021-05-03T19:15:11.075,0.400,82.195,-2.378,-39.817
1620062111085,2021-05-03T19:15:11.085,0.410,82.500,0.244,-40.122
1620062111095,2021-05-03T19:15:11.095,0.420,82.805,5.488,-39.451
1620062111105,2021-05-03T19:15:11.105,0.430,82.988,12.622,-39.024
1620062111115,2021-05-03T19:15:11.115,0.440,83.293,20.671,-39.268
