epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1621617431618,2021-05-21T19.17.11.618,0.000,0.976,-0.366,-0.061
1621617431628,2021-05-21T19.17.11.628,0.010,0.854,-0.183,-0.305
1621617431638,2021-05-21T19.17.11.638,0.020,0.854,0.000,-0.244
1621617431648,2021-05-21T19.17.11.648,0.030,0.915,0.183,-0.244
1621617431658,2021-05-21T19.17.11.658,0.040,0.854,0.305,-0.244
1621617431668,2021-05-21T19.17.11.668,0.050,0.793,0.610,-0.244
1621617431678,2021-05-21T19.17.11.678,0.060,0.793,0.671,-0.122
1621617431688,2021-05-21T19.17.11.688,0.070,0.793,0.427,-0.061
1621617431698,2021-05-21T19.17.11.698,0.080,0.793,-0.183,-0.061
1621617431708,2021-05-21T19.17.11.708,0.090,0.732,-0.671,-0.122
1621617431718,2021-05-21T19.17.11.718,0.100,0.671,-1.037,-0.427
1621617431728,2021-05-21T19.17.11.728,0.110,0.854,-1.463,-0.671
1621617431738,2021-05-21T19.17.11.738,0.120,0.915,-1.402,-0.915
1621617431748,2021-05-21T19.17.11.748,0.130,1.098,-1.037,-1.098
1621617431758,2021-05-21T19.17.11.758,0.140,1.524,-1.037,-1.159
1621617431768,2021-05-21T19.17.11.768,0.150,1.707,-1.890,-1.098
1621617431778,2021-05-21T19.17.11.778,0.160,2.500,-4.085,-0.549
1621617431788,2021-05-21T19.17.11.788,0.170,3.476,-6.098,-0.732
1621617431798,2021-05-21T19.17.11.798,0.180,3.537,-5.671,-0.976
1621617431808,2021-05-21T19.17.11.808,0.190,3.780,-3.232,-0.854
1621617431818,2021-05-21T19.17.11.818,0.200,3.902,-0.610,-0.793
1621617431828,2021-05-21T19.17.11.828,0.210,4.024,0.976,-0.915
1621617431838,2021-05-21T19.17.11.838,0.220,3.963,2.073,-1.220
1621617431848,2021-05-21T19.17.11.848,0.230,3.720,2.805,-1.220
1621617431858,2021-05-21T19.17.11.858,0.240,3.354,2.988,-0.793
1621617431868,2021-05-21T19.17.11.868,0.250,2.866,2.683,-0.854
1621617431878,2021-05-21T19.17.11.878,0.260,2.500,2.134,-0.915
1621617431888,2021-05-21T19.17.11.888,0.270,2.195,1.524,-0.915
1621617431898,2021-05-21T19.17.11.898,0.280,1.707,1.037,-0.915
1621617431908,2021-05-21T19.17.11.908,0.290,1.098,0.976,-1.098
1621617431918,2021-05-21T19.17.11.918,0.300,0.732,2.073,-1.159
1621617431928,2021-05-21T19.17.11.928,0.310,0.305,3.415,-1.220
1621617431938,2021-05-21T19.17.11.938,0.320,0.000,4.146,-1.220
1621617431948,2021-05-21T19.17.11.948,0.330,-0.183,4.146,-1.341
1621617431958,2021-05-21T19.17.11.958,0.340,-0.244,3.598,-1.341
1621617431968,2021-05-21T19.17.11.968,0.350,-0.183,2.500,-1.098
1621617431978,2021-05-21T19.17.11.978,0.360,0.000,2.012,-0.732
1621617431988,2021-05-21T19.17.11.988,0.370,-0.183,1.524,-0.610
1621617431998,2021-05-21T19.17.11.998,0.380,-0.061,2.683,-0.305
1621617432008,2021-05-21T19.17.12.008,0.390,0.366,4.390,0.183
1621617432018,2021-05-21T19.17.12.018,0.400,0.915,4.207,0.549
1621617432028,2021-05-21T19.17.12.028,0.410,1.524,3.354,0.976
1621617432038,2021-05-21T19.17.12.038,0.420,2.195,2.622,1.098
1621617432048,2021-05-21T19.17.12.048,0.430,2.622,2.134,1.098
1621617432058,2021-05-21T19.17.12.058,0.440,3.110,1.341,1.220
1621617432068,2021-05-21T19.17.12.068,0.450,3.232,0.183,1.341
1621617432078,2021-05-21T19.17.12.078,0.460,3.720,-0.793,1.402
1621617432088,2021-05-21T19.17.12.088,0.470,3.841,-1.646,1.463
1621617432098,2021-05-21T19.17.12.098,0.480,4.024,-1.707,1.220
1621617432108,2021-05-21T19.17.12.108,0.490,4.146,-1.341,1.402
1621617432118,2021-05-21T19.17.12.118,0.500,3.841,-1.098,1.951
1621617432128,2021-05-21T19.17.12.128,0.510,3.537,-1.524,2.256
1621617432138,2021-05-21T19.17.12.138,0.520,3.354,-2.012,2.439
1621617432148,2021-05-21T19.17.12.148,0.530,3.110,-2.500,2.561
1621617432158,2021-05-21T19.17.12.158,0.540,2.622,-2.256,2.256
1621617432168,2021-05-21T19.17.12.168,0.550,2.195,-1.524,1.951
1621617432178,2021-05-21T19.17.12.178,0.560,1.524,-0.854,1.768
1621617432188,2021-05-21T19.17.12.188,0.570,0.793,-0.427,1.890
1621617432198,2021-05-21T19.17.12.198,0.580,0.183,-1.098,2.195
1621617432208,2021-05-21T19.17.12.208,0.590,-0.244,-2.134,2.500
1621617432218,2021-05-21T19.17.12.218,0.600,-0.549,-2.439,2.622
1621617432228,2021-05-21T19.17.12.228,0.610,-0.488,-2.317,2.683
1621617432238,2021-05-21T19.17.12.238,0.620,-0.488,-2.073,2.622
1621617432248,2021-05-21T19.17.12.248,0.630,-0.427,-2.012,2.561
1621617432258,2021-05-21T19.17.12.258,0.640,-0.488,-2.805,2.439
1621617432268,2021-05-21T19.17.12.268,0.650,-0.427,-4.451,2.256
1621617432278,2021-05-21T19.17.12.278,0.660,-0.488,-5.183,2.012
1621617432288,2021-05-21T19.17.12.288,0.670,-0.488,-5.671,2.012
1621617432298,2021-05-21T19.17.12.298,0.680,-0.366,-6.646,1.951
1621617432308,2021-05-21T19.17.12.308,0.690,-0.122,-7.683,1.951
1621617432318,2021-05-21T19.17.12.318,0.700,0.305,-8.354,2.073
1621617432328,2021-05-21T19.17.12.328,0.710,0.854,-8.780,2.256
1621617432338,2021-05-21T19.17.12.338,0.720,1.037,-9.390,2.378
1621617432348,2021-05-21T19.17.12.348,0.730,1.524,-9.024,2.561
1621617432358,2021-05-21T19.17.12.358,0.740,1.890,-8.049,2.683
1621617432368,2021-05-21T19.17.12.368,0.750,2.378,-7.195,2.866
1621617432378,2021-05-21T19.17.12.378,0.760,2.805,-6.707,2.805
1621617432388,2021-05-21T19.17.12.388,0.770,3.110,-6.220,2.561
1621617432398,2021-05-21T19.17.12.398,0.780,3.354,-5.549,2.256
1621617432408,2021-05-21T19.17.12.408,0.790,3.354,-5.000,2.134
1621617432418,2021-05-21T19.17.12.418,0.800,3.232,-4.512,2.012
1621617432428,2021-05-21T19.17.12.428,0.810,3.049,-4.268,2.073
1621617432438,2021-05-21T19.17.12.438,0.820,2.744,-4.329,1.829
1621617432448,2021-05-21T19.17.12.448,0.830,2.561,-4.695,1.707
1621617432458,2021-05-21T19.17.12.458,0.840,2.317,-4.451,1.707
1621617432468,2021-05-21T19.17.12.468,0.850,2.073,-3.841,1.280
1621617432478,2021-05-21T19.17.12.478,0.860,2.012,-2.805,0.732
1621617432488,2021-05-21T19.17.12.488,0.870,1.951,-1.220,0.305
1621617432498,2021-05-21T19.17.12.498,0.880,1.829,-0.061,0.122
1621617432508,2021-05-21T19.17.12.508,0.890,1.829,0.366,0.061
1621617432518,2021-05-21T19.17.12.518,0.900,1.646,-0.244,0.061
1621617432528,2021-05-21T19.17.12.528,0.910,1.646,-1.159,-0.122
1621617432538,2021-05-21T19.17.12.538,0.920,1.524,-1.707,-0.061
1621617432548,2021-05-21T19.17.12.548,0.930,1.402,-1.524,0.000
1621617432558,2021-05-21T19.17.12.558,0.940,1.402,-1.524,0.061
1621617432568,2021-05-21T19.17.12.568,0.950,1.463,-1.402,0.183
1621617432578,2021-05-21T19.17.12.578,0.960,1.585,-1.280,0.061
1621617432588,2021-05-21T19.17.12.588,0.970,1.890,-0.427,-0.122
1621617432598,2021-05-21T19.17.12.598,0.980,2.073,0.366,-0.366
1621617432608,2021-05-21T19.17.12.608,0.990,2.317,0.854,-0.366
1621617432618,2021-05-21T19.17.12.618,1.000,2.439,1.585,-0.061
1621617432628,2021-05-21T19.17.12.628,1.010,2.561,2.012,0.366
1621617432638,2021-05-21T19.17.12.638,1.020,2.683,2.073,0.915
1621617432648,2021-05-21T19.17.12.648,1.030,2.988,1.890,1.280
1621617432658,2021-05-21T19.17.12.658,1.040,3.537,0.915,1.280
1621617432668,2021-05-21T19.17.12.668,1.050,4.268,-2.073,1.037
1621617432678,2021-05-21T19.17.12.678,1.060,4.939,-6.098,1.037
1621617432688,2021-05-21T19.17.12.688,1.070,5.366,-7.622,1.159
1621617432698,2021-05-21T19.17.12.698,1.080,5.610,-7.317,1.585
1621617432708,2021-05-21T19.17.12.708,1.090,5.793,-4.878,2.378
1621617432718,2021-05-21T19.17.12.718,1.100,6.098,-2.256,3.171
1621617432728,2021-05-21T19.17.12.728,1.110,6.402,-1.524,4.024
1621617432738,2021-05-21T19.17.12.738,1.120,6.585,-2.561,4.451
1621617432748,2021-05-21T19.17.12.748,1.130,6.220,-3.415,4.268
1621617432758,2021-05-21T19.17.12.758,1.140,5.671,-4.573,3.780
1621617432768,2021-05-21T19.17.12.768,1.150,4.878,-6.037,2.561
1621617432778,2021-05-21T19.17.12.778,1.160,3.720,-7.012,1.402
1621617432788,2021-05-21T19.17.12.788,1.170,2.683,-5.732,0.549
1621617432798,2021-05-21T19.17.12.798,1.180,1.829,-3.598,0.000
1621617432808,2021-05-21T19.17.12.808,1.190,0.793,-1.890,-0.671
1621617432818,2021-05-21T19.17.12.818,1.200,0.061,-1.220,-1.159
1621617432828,2021-05-21T19.17.12.828,1.210,-0.671,-1.402,-1.707
1621617432838,2021-05-21T19.17.12.838,1.220,-1.280,-1.707,-2.195
1621617432848,2021-05-21T19.17.12.848,1.230,-1.524,-1.463,-2.378
1621617432858,2021-05-21T19.17.12.858,1.240,-1.646,-0.854,-2.500
1621617432868,2021-05-21T19.17.12.868,1.250,-1.829,0.366,-2.622
1621617432878,2021-05-21T19.17.12.878,1.260,-1.646,1.829,-2.317
1621617432888,2021-05-21T19.17.12.888,1.270,-1.646,3.293,-2.012
1621617432898,2021-05-21T19.17.12.898,1.280,-1.402,4.878,-1.829
1621617432908,2021-05-21T19.17.12.908,1.290,-1.159,5.366,-1.768
1621617432918,2021-05-21T19.17.12.918,1.300,-0.854,5.244,-1.585
1621617432928,2021-05-21T19.17.12.928,1.310,-0.549,4.878,-1.341
1621617432938,2021-05-21T19.17.12.938,1.320,-0.305,4.573,-0.854
1621617432948,2021-05-21T19.17.12.948,1.330,-0.061,4.512,-0.427
1621617432958,2021-05-21T19.17.12.958,1.340,0.000,5.305,-0.061
1621617432968,2021-05-21T19.17.12.968,1.350,0.000,6.280,0.366
1621617432978,2021-05-21T19.17.12.978,1.360,0.305,6.463,0.427
1621617432988,2021-05-21T19.17.12.988,1.370,0.488,6.098,0.305
1621617432998,2021-05-21T19.17.12.998,1.380,0.427,5.427,0.366
1621617433008,2021-05-21T19.17.13.008,1.390,0.427,5.305,0.793
1621617433018,2021-05-21T19.17.13.018,1.400,0.244,5.793,1.037
1621617433028,2021-05-21T19.17.13.028,1.410,-0.183,5.610,1.037
1621617433038,2021-05-21T19.17.13.038,1.420,-0.244,4.329,0.793
1621617433048,2021-05-21T19.17.13.048,1.430,-0.244,2.622,0.488
1621617433058,2021-05-21T19.17.13.058,1.440,-0.244,0.427,0.427
1621617433068,2021-05-21T19.17.13.068,1.450,-0.122,-1.341,0.244
1621617433078,2021-05-21T19.17.13.078,1.460,-0.122,-1.890,0.122
