epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1620669115339,2021-05-10T19:51:55.339,0.000,-0.186,-0.259,-0.978
1620669115349,2021-05-10T19:51:55.349,0.010,-0.187,-0.259,-0.984
1620669115359,2021-05-10T19:51:55.359,0.020,-0.188,-0.261,-0.959
1620669115369,2021-05-10T19:51:55.369,0.030,-0.185,-0.265,-0.951
1620669115379,2021-05-10T19:51:55.379,0.040,-0.181,-0.269,-0.944
1620669115389,2021-05-10T19:51:55.389,0.050,-0.183,-0.278,-0.940
1620669115399,2021-05-10T19:51:55.399,0.060,-0.182,-0.284,-0.936
1620669115409,2021-05-10T19:51:55.409,0.070,-0.183,-0.284,-0.943
1620669115419,2021-05-10T19:51:55.419,0.080,-0.181,-0.285,-0.939
1620669115429,2021-05-10T19:51:55.429,0.090,-0.178,-0.282,-0.938
1620669115439,2021-05-10T19:51:55.439,0.100,-0.175,-0.277,-0.948
1620669115449,2021-05-10T19:51:55.449,0.110,-0.173,-0.274,-0.946
1620669115459,2021-05-10T19:51:55.459,0.120,-0.178,-0.273,-0.948
1620669115469,2021-05-10T19:51:55.469,0.130,-0.177,-0.271,-0.947
1620669115479,2021-05-10T19:51:55.479,0.140,-0.180,-0.267,-0.951
1620669115489,2021-05-10T19:51:55.489,0.150,-0.169,-0.270,-0.958
1620669115499,2021-05-10T19:51:55.499,0.160,-0.168,-0.268,-0.954
1620669115509,2021-05-10T19:51:55.509,0.170,-0.165,-0.265,-0.953
1620669115519,2021-05-10T19:51:55.519,0.180,-0.162,-0.261,-0.960
1620669115529,2021-05-10T19:51:55.529,0.190,-0.154,-0.259,-0.969
1620669115539,2021-05-10T19:51:55.539,0.200,-0.152,-0.257,-0.975
1620669115549,2021-05-10T19:51:55.549,0.210,-0.147,-0.257,-0.979
1620669115559,2021-05-10T19:51:55.559,0.220,-0.153,-0.258,-0.980
1620669115569,2021-05-10T19:51:55.569,0.230,-0.153,-0.262,-0.974
1620669115579,2021-05-10T19:51:55.579,0.240,-0.151,-0.266,-0.972
1620669115589,2021-05-10T19:51:55.589,0.250,-0.153,-0.271,-0.978
1620669115599,2021-05-10T19:51:55.599,0.260,-0.154,-0.271,-0.971
1620669115609,2021-05-10T19:51:55.609,0.270,-0.146,-0.270,-0.978
1620669115619,2021-05-10T19:51:55.619,0.280,-0.147,-0.262,-0.985
1620669115629,2021-05-10T19:51:55.629,0.290,-0.141,-0.250,-0.993
1620669115639,2021-05-10T19:51:55.639,0.300,-0.142,-0.245,-0.993
1620669115649,2021-05-10T19:51:55.649,0.310,-0.146,-0.240,-0.999
1620669115659,2021-05-10T19:51:55.659,0.320,-0.155,-0.233,-1.012
1620669115669,2021-05-10T19:51:55.669,0.330,-0.137,-0.237,-1.007
1620669115679,2021-05-10T19:51:55.679,0.340,-0.133,-0.240,-0.990
1620669115689,2021-05-10T19:51:55.689,0.350,-0.131,-0.243,-0.989
1620669115699,2021-05-10T19:51:55.699,0.360,-0.133,-0.247,-0.991
1620669115709,2021-05-10T19:51:55.709,0.370,-0.131,-0.250,-0.985
1620669115719,2021-05-10T19:51:55.719,0.380,-0.128,-0.257,-0.984
1620669115729,2021-05-10T19:51:55.729,0.390,-0.137,-0.258,-0.984
1620669115739,2021-05-10T19:51:55.739,0.400,-0.139,-0.260,-0.978
1620669115749,2021-05-10T19:51:55.749,0.410,-0.153,-0.267,-0.974
1620669115759,2021-05-10T19:51:55.759,0.420,-0.148,-0.265,-0.981
1620669115769,2021-05-10T19:51:55.769,0.430,-0.134,-0.266,-0.982
1620669115779,2021-05-10T19:51:55.779,0.440,-0.135,-0.269,-0.985
1620669115789,2021-05-10T19:51:55.789,0.450,-0.135,-0.275,-0.986
1620669115799,2021-05-10T19:51:55.799,0.460,-0.143,-0.274,-0.974
1620669115809,2021-05-10T19:51:55.809,0.470,-0.145,-0.279,-0.973
1620669115819,2021-05-10T19:51:55.819,0.480,-0.141,-0.283,-0.975
1620669115829,2021-05-10T19:51:55.829,0.490,-0.143,-0.280,-0.973
1620669115839,2021-05-10T19:51:55.839,0.500,-0.139,-0.280,-0.967
1620669115849,2021-05-10T19:51:55.849,0.510,-0.142,-0.278,-0.968
1620669115859,2021-05-10T19:51:55.859,0.520,-0.143,-0.273,-0.956
1620669115869,2021-05-10T19:51:55.869,0.530,-0.137,-0.280,-0.936
1620669115879,2021-05-10T19:51:55.879,0.540,-0.142,-0.293,-0.934
1620669115889,2021-05-10T19:51:55.889,0.550,-0.133,-0.289,-0.925
1620669115899,2021-05-10T19:51:55.899,0.560,-0.129,-0.294,-0.928
1620669115909,2021-05-10T19:51:55.909,0.570,-0.137,-0.287,-0.941
1620669115919,2021-05-10T19:51:55.919,0.580,-0.106,-0.284,-0.949
1620669115929,2021-05-10T19:51:55.929,0.590,-0.112,-0.277,-0.953
1620669115939,2021-05-10T19:51:55.939,0.600,-0.104,-0.268,-0.955
1620669115949,2021-05-10T19:51:55.949,0.610,-0.097,-0.256,-0.964
1620669115959,2021-05-10T19:51:55.959,0.620,-0.091,-0.245,-0.959
1620669115969,2021-05-10T19:51:55.969,0.630,-0.084,-0.234,-0.959
1620669115979,2021-05-10T19:51:55.979,0.640,-0.064,-0.222,-0.963
1620669115989,2021-05-10T19:51:55.989,0.650,-0.063,-0.213,-0.969
1620669115999,2021-05-10T19:51:55.999,0.660,-0.072,-0.210,-0.969
1620669116009,2021-05-10T19:51:56.009,0.670,-0.044,-0.205,-0.979
1620669116019,2021-05-10T19:51:56.019,0.680,-0.029,-0.214,-0.994
1620669116029,2021-05-10T19:51:56.029,0.690,-0.025,-0.219,-1.003
1620669116039,2021-05-10T19:51:56.039,0.700,-0.033,-0.229,-1.009
1620669116049,2021-05-10T19:51:56.049,0.710,-0.047,-0.237,-1.018
1620669116059,2021-05-10T19:51:56.059,0.720,-0.055,-0.246,-1.019
1620669116069,2021-05-10T19:51:56.069,0.730,-0.053,-0.260,-1.010
1620669116079,2021-05-10T19:51:56.079,0.740,-0.055,-0.270,-1.012
1620669116089,2021-05-10T19:51:56.089,0.750,-0.062,-0.277,-1.012
1620669116099,2021-05-10T19:51:56.099,0.760,-0.068,-0.280,-1.009
1620669116109,2021-05-10T19:51:56.109,0.770,-0.074,-0.273,-1.016
1620669116119,2021-05-10T19:51:56.119,0.780,-0.082,-0.270,-1.014
1620669116129,2021-05-10T19:51:56.129,0.790,-0.085,-0.266,-1.005
1620669116139,2021-05-10T19:51:56.139,0.800,-0.081,-0.262,-1.013
1620669116149,2021-05-10T19:51:56.149,0.810,-0.090,-0.256,-1.013
1620669116159,2021-05-10T19:51:56.159,0.820,-0.094,-0.250,-1.014
1620669116169,2021-05-10T19:51:56.169,0.830,-0.101,-0.250,-1.011
