epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1619280372597,2021-04-24T18.06.12.597,0.000,-0.964,-0.054,-0.148
1619280372607,2021-04-24T18.06.12.607,0.010,-0.980,-0.060,-0.149
1619280372617,2021-04-24T18.06.12.617,0.020,-0.961,-0.066,-0.144
1619280372627,2021-04-24T18.06.12.627,0.030,-0.937,-0.068,-0.124
1619280372637,2021-04-24T18.06.12.637,0.040,-0.952,-0.070,-0.130
1619280372647,2021-04-24T18.06.12.647,0.050,-0.968,-0.075,-0.136
1619280372657,2021-04-24T18.06.12.657,0.060,-0.962,-0.073,-0.151
1619280372667,2021-04-24T18.06.12.667,0.070,-0.980,-0.067,-0.188
1619280372677,2021-04-24T18.06.12.677,0.080,-0.991,-0.054,-0.225
1619280372687,2021-04-24T18.06.12.687,0.090,-1.002,-0.053,-0.242
1619280372697,2021-04-24T18.06.12.697,0.100,-0.999,-0.047,-0.255
1619280372707,2021-04-24T18.06.12.707,0.110,-0.945,-0.037,-0.260
1619280372717,2021-04-24T18.06.12.717,0.120,-0.954,-0.041,-0.237
1619280372727,2021-04-24T18.06.12.727,0.130,-1.054,-0.046,-0.246
1619280372737,2021-04-24T18.06.12.737,0.140,-1.009,-0.048,-0.234
1619280372747,2021-04-24T18.06.12.747,0.150,-0.917,-0.052,-0.225
1619280372757,2021-04-24T18.06.12.757,0.160,-0.914,-0.045,-0.253
1619280372767,2021-04-24T18.06.12.767,0.170,-0.964,-0.031,-0.291
1619280372777,2021-04-24T18.06.12.777,0.180,-1.034,-0.022,-0.291
1619280372787,2021-04-24T18.06.12.787,0.190,-1.085,-0.042,-0.242
1619280372797,2021-04-24T18.06.12.797,0.200,-1.021,-0.057,-0.198
1619280372807,2021-04-24T18.06.12.807,0.210,-0.933,-0.050,-0.202
1619280372817,2021-04-24T18.06.12.817,0.220,-0.968,-0.031,-0.241
1619280372827,2021-04-24T18.06.12.827,0.230,-1.011,-0.022,-0.250
1619280372837,2021-04-24T18.06.12.837,0.240,-1.034,-0.027,-0.234
1619280372847,2021-04-24T18.06.12.847,0.250,-1.038,-0.034,-0.211
1619280372857,2021-04-24T18.06.12.857,0.260,-0.982,-0.039,-0.191
1619280372867,2021-04-24T18.06.12.867,0.270,-0.978,-0.043,-0.188
1619280372877,2021-04-24T18.06.12.877,0.280,-1.007,-0.046,-0.168
1619280372887,2021-04-24T18.06.12.887,0.290,-0.981,-0.037,-0.176
1619280372897,2021-04-24T18.06.12.897,0.300,-1.032,-0.031,-0.208
1619280372907,2021-04-24T18.06.12.907,0.310,-1.035,-0.042,-0.194
1619280372917,2021-04-24T18.06.12.917,0.320,-0.968,-0.042,-0.182
1619280372927,2021-04-24T18.06.12.927,0.330,-1.023,-0.051,-0.177
1619280372937,2021-04-24T18.06.12.937,0.340,-1.035,-0.054,-0.151
1619280372947,2021-04-24T18.06.12.947,0.350,-0.969,-0.050,-0.142
1619280372957,2021-04-24T18.06.12.957,0.360,-0.989,-0.048,-0.152
1619280372967,2021-04-24T18.06.12.967,0.370,-1.001,-0.054,-0.138
1619280372977,2021-04-24T18.06.12.977,0.380,-0.959,-0.052,-0.136
1619280372987,2021-04-24T18.06.12.987,0.390,-0.965,-0.056,-0.146
1619280372997,2021-04-24T18.06.12.997,0.400,-0.970,-0.058,-0.156
1619280373007,2021-04-24T18.06.13.007,0.410,-0.979,-0.054,-0.179
1619280373017,2021-04-24T18.06.13.017,0.420,-0.999,-0.065,-0.174
1619280373027,2021-04-24T18.06.13.027,0.430,-0.973,-0.072,-0.156
1619280373037,2021-04-24T18.06.13.037,0.440,-0.963,-0.065,-0.155
1619280373047,2021-04-24T18.06.13.047,0.450,-0.975,-0.060,-0.162
1619280373057,2021-04-24T18.06.13.057,0.460,-0.998,-0.060,-0.170
1619280373067,2021-04-24T18.06.13.067,0.470,-1.008,-0.063,-0.169
1619280373077,2021-04-24T18.06.13.077,0.480,-0.968,-0.062,-0.159
1619280373087,2021-04-24T18.06.13.087,0.490,-0.981,-0.060,-0.168
1619280373097,2021-04-24T18.06.13.097,0.500,-1.014,-0.060,-0.168
1619280373107,2021-04-24T18.06.13.107,0.510,-0.998,-0.062,-0.156
1619280373117,2021-04-24T18.06.13.117,0.520,-1.009,-0.061,-0.168
1619280373127,2021-04-24T18.06.13.127,0.530,-0.990,-0.061,-0.168
1619280373137,2021-04-24T18.06.13.137,0.540,-0.985,-0.061,-0.166
1619280373147,2021-04-24T18.06.13.147,0.550,-1.005,-0.063,-0.164
1619280373157,2021-04-24T18.06.13.157,0.560,-0.998,-0.056,-0.170
1619280373167,2021-04-24T18.06.13.167,0.570,-1.013,-0.058,-0.173
1619280373177,2021-04-24T18.06.13.177,0.580,-0.989,-0.059,-0.170
1619280373187,2021-04-24T18.06.13.187,0.590,-0.989,-0.060,-0.183
1619280373197,2021-04-24T18.06.13.197,0.600,-1.012,-0.063,-0.184
1619280373207,2021-04-24T18.06.13.207,0.610,-0.970,-0.061,-0.177
1619280373217,2021-04-24T18.06.13.217,0.620,-0.992,-0.062,-0.190
1619280373227,2021-04-24T18.06.13.227,0.630,-1.003,-0.065,-0.192
1619280373237,2021-04-24T18.06.13.237,0.640,-0.983,-0.062,-0.196
1619280373247,2021-04-24T18.06.13.247,0.650,-0.994,-0.067,-0.197
1619280373257,2021-04-24T18.06.13.257,0.660,-0.979,-0.065,-0.194
1619280373267,2021-04-24T18.06.13.267,0.670,-0.981,-0.062,-0.191
1619280373277,2021-04-24T18.06.13.277,0.680,-0.985,-0.062,-0.185
1619280373287,2021-04-24T18.06.13.287,0.690,-0.989,-0.064,-0.178
1619280373297,2021-04-24T18.06.13.297,0.700,-0.990,-0.071,-0.176
1619280373307,2021-04-24T18.06.13.307,0.710,-0.969,-0.069,-0.179
1619280373317,2021-04-24T18.06.13.317,0.720,-0.995,-0.068,-0.186
1619280373327,2021-04-24T18.06.13.327,0.730,-0.998,-0.079,-0.167
1619280373337,2021-04-24T18.06.13.337,0.740,-0.987,-0.078,-0.165
1619280373347,2021-04-24T18.06.13.347,0.750,-0.999,-0.081,-0.161
1619280373357,2021-04-24T18.06.13.357,0.760,-0.976,-0.079,-0.153
1619280373367,2021-04-24T18.06.13.367,0.770,-0.986,-0.075,-0.167
1619280373377,2021-04-24T18.06.13.377,0.780,-1.020,-0.085,-0.163
1619280373387,2021-04-24T18.06.13.387,0.790,-0.998,-0.083,-0.161
1619280373397,2021-04-24T18.06.13.397,0.800,-1.009,-0.082,-0.167
1619280373407,2021-04-24T18.06.13.407,0.810,-1.006,-0.084,-0.182
1619280373417,2021-04-24T18.06.13.417,0.820,-1.012,-0.083,-0.191
1619280373427,2021-04-24T18.06.13.427,0.830,-0.997,-0.080,-0.188
1619280373437,2021-04-24T18.06.13.437,0.840,-1.007,-0.073,-0.196
